"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right","dynamic_env","bird_num"
"s154","p054",549,497,23,46,FALSE,2
"s155","p054",494,506,20,41,FALSE,2
"s156","p054",848,999,37,63,FALSE,2
"s157","p054",415,324,19,32,FALSE,2
"s158","p054",627,494,31,40,FALSE,2
"s160","p054",812,191,59,5,FALSE,2
"s161","p054",675,239,66,4,FALSE,2
"s163","p054",618,1045,27,62,FALSE,2
"s165","p054",856,341,49,5,FALSE,2
"s166","p054",693,159,54,3,FALSE,2
"s170","p054",421,1270,6,68,FALSE,2
"s172","p054",630,578,46,19,FALSE,2
"s173","p054",600,417,43,16,FALSE,2
"s175","p054",241,396,16,32,FALSE,2
"s176","p054",561,1014,22,60,FALSE,2
"s179","p054",582,836,13,49,FALSE,2
"s01","p138",1507,32,36,6,FALSE,3
"s02","p138",289,24,30,4,FALSE,3
"s03","p138",277,108,31,13,FALSE,3
"s04","p138",648,111,64,12,FALSE,3
"s05","p138",350,290,43,16,FALSE,3
"s06","p138",383,327,46,21,FALSE,3
"s07","p138",197,202,30,14,FALSE,3
"s08","p138",101,102,16,10,FALSE,3
"s09","p138",236,221,52,22,FALSE,3
"s10","p138",111,52,26,6,FALSE,3
"s11","p138",387,211,55,19,FALSE,3
"s12","p138",285,181,34,9,FALSE,3
"s13","p138",329,118,41,11,FALSE,3
"s14","p138",350,139,36,11,FALSE,3
"s15","p138",476,237,42,21,FALSE,3
"s17","p138",197,251,10,26,FALSE,3
"s18","p138",154,334,12,35,FALSE,3
"s19","p138",213,530,8,26,FALSE,3
"s20","p138",361,737,20,46,FALSE,3
"s21","p138",283,351,9,14,FALSE,3
"s22","p138",274,459,8,36,FALSE,3
"s23","p138",406,458,18,34,FALSE,3
"s24","p138",205,389,5,26,FALSE,3
"s25","p138",400,411,6,32,FALSE,3
"s27","p138",659,222,40,17,FALSE,3
"s28","p138",795,321,61,23,FALSE,3
"s29","p138",526,283,48,21,FALSE,3
"s30","p138",244,105,19,7,FALSE,3
"s31","p138",185,105,21,7,FALSE,3
"s32","p138",230,215,30,12,FALSE,3
"s33","p138",292,273,55,24,FALSE,3
"s34","p138",345,218,46,16,FALSE,3
"s35","p138",322,155,38,12,FALSE,3
"s37","p138",250,297,14,29,FALSE,3
"s38","p138",183,391,18,37,FALSE,3
"s39","p138",96,333,6,35,FALSE,3
"s40","p138",152,436,10,31,FALSE,3
"s41","p138",162,556,15,37,FALSE,3
"s42","p138",260,314,16,34,FALSE,3
"s43","p138",188,402,15,34,FALSE,3
"s44","p138",176,323,13,21,FALSE,3
"s45","p138",125,180,8,21,FALSE,3
"s46","p138",228,364,20,35,FALSE,3
"s47","p138",110,182,5,18,FALSE,3
"s48","p138",125,480,13,38,FALSE,3
"s49","p138",215,382,13,23,FALSE,3
"s50","p138",188,460,14,40,FALSE,3
"s51","p138",186,371,12,26,FALSE,3
"s52","p138",280,586,11,36,FALSE,3
"s54","p138",743,495,66,21,FALSE,3
"s55","p138",354,116,32,6,FALSE,3
"s56","p138",540,423,44,16,FALSE,3
"s57","p138",572,334,46,15,FALSE,3
"s58","p138",778,357,66,18,FALSE,3
"s59","p138",296,166,40,15,FALSE,3
"s60","p138",320,175,52,26,FALSE,3
"s61","p138",176,91,20,9,FALSE,3
"s62","p138",237,131,39,14,FALSE,3
"s63","p138",232,116,43,12,FALSE,3
"s64","p138",550,248,61,22,FALSE,3
"s65","p138",286,188,42,16,FALSE,3
"s66","p138",180,72,23,11,FALSE,3
"s67","p138",341,197,43,13,FALSE,3
"s68","p138",607,199,45,16,FALSE,3
"s69","p138",546,233,62,20,FALSE,3
"s70","p138",145,82,23,14,FALSE,3
"s71","p138",293,35,41,10,FALSE,3
"s72","p138",304,52,24,8,FALSE,3
"s73","p138",435,48,36,10,FALSE,3
"s74","p138",501,8,56,5,FALSE,3
"s76","p138",289,427,16,40,FALSE,3
"s77","p138",297,332,15,33,FALSE,3
"s78","p138",235,271,10,32,FALSE,3
"s79","p138",271,222,16,38,FALSE,3
"s80","p138",169,151,7,25,FALSE,3
"s81","p138",188,257,17,31,FALSE,3
"s82","p138",174,248,10,31,FALSE,3
"s83","p138",292,269,17,34,FALSE,3
"s84","p138",157,245,5,22,FALSE,3
"s85","p138",177,688,7,38,FALSE,3
"s86","p138",171,388,7,26,FALSE,3
"s87","p138",180,454,11,38,FALSE,3
"s88","p138",130,314,13,30,FALSE,3
"s89","p138",135,362,11,33,FALSE,3
"s90","p138",105,269,6,26,FALSE,3
"s91","p138",81,72,17,23,FALSE,3
"s92","p138",92,118,13,34,FALSE,3
"s93","p138",193,126,12,32,FALSE,3
"s94","p138",130,205,10,19,FALSE,3
"s95","p138",235,441,11,31,FALSE,3
"s96","p138",163,297,15,30,FALSE,3
"s97","p138",162,328,12,45,FALSE,3
"s98","p138",97,128,8,22,FALSE,3
"s99","p138",139,199,16,30,FALSE,3
"s100","p138",140,252,12,35,FALSE,3
"s102","p138",136,154,15,17,FALSE,3
"s103","p138",196,257,24,22,FALSE,3
"s104","p138",110,120,15,20,FALSE,3
"s105","p138",127,217,17,18,FALSE,3
"s106","p138",169,216,18,17,FALSE,3
"s107","p138",144,213,20,16,FALSE,3
"s108","p138",108,121,29,16,FALSE,3
"s109","p138",177,124,15,16,FALSE,3
"s110","p138",161,62,15,17,FALSE,3
"s111","p138",250,144,15,13,FALSE,3
"s112","p138",227,102,28,17,FALSE,3
"s113","p138",135,125,15,12,FALSE,3
"s114","p138",127,227,16,14,FALSE,3
"s115","p138",117,302,16,19,FALSE,3
"s116","p138",239,538,39,43,FALSE,3
"s118","p138",109,217,34,19,FALSE,3
"s119","p138",403,113,43,15,FALSE,3
"s120","p138",322,83,40,14,FALSE,3
"s121","p138",338,140,60,27,FALSE,3
"s122","p138",506,325,47,13,FALSE,3
"s126","p138",229,317,28,35,FALSE,3
"s127","p138",251,481,22,38,FALSE,3
"s129","p138",398,358,48,16,FALSE,3
"s131","p138",181,292,13,33,FALSE,3
"s132","p138",143,270,13,40,FALSE,3
"s133","p138",399,483,22,47,FALSE,3
"s136","p138",290,408,7,57,FALSE,3
"s137","p138",156,589,2,50,FALSE,3
"s139","p138",428,110,35,16,FALSE,3
"s141","p138",232,68,7,28,FALSE,3
"s144","p138",254,143,4,34,FALSE,3
"s146","p138",769,326,50,27,FALSE,3
"s150","p138",97,280,3,48,FALSE,3
"s153","p138",189,149,4,47,FALSE,3
"s154","p138",83,215,1,34,FALSE,3
"s156","p138",584,144,68,8,FALSE,3
"s157","p138",429,135,41,9,FALSE,3
"s158","p138",296,51,53,4,FALSE,3
"s159","p138",689,36,62,8,FALSE,3
"s162","p138",342,49,38,10,FALSE,3
"s164","p138",491,156,24,31,FALSE,3
"s165","p138",498,291,14,28,FALSE,3
"s166","p138",528,447,16,52,FALSE,3
"s170","p138",514,293,25,53,FALSE,3
"s172","p138",228,125,38,19,FALSE,3
"s176","p138",389,501,19,64,FALSE,3
"s179","p138",392,376,14,44,FALSE,3
"s01","p510",597,308,55,16,FALSE,4
"s02","p510",902,208,65,16,FALSE,4
"s03","p510",756,295,44,13,FALSE,4
"s04","p510",1172,444,59,13,FALSE,4
"s05","p510",1890,471,63,18,FALSE,4
"s06","p510",2069,707,70,24,FALSE,4
"s07","p510",1889,563,60,17,FALSE,4
"s08","p510",1089,425,25,15,FALSE,4
"s09","p510",1312,492,44,13,FALSE,4
"s10","p510",1502,556,57,10,FALSE,4
"s11","p510",1008,326,32,8,FALSE,4
"s12","p510",2006,984,64,21,FALSE,4
"s13","p510",1445,479,45,13,FALSE,4
"s14","p510",784,410,24,10,FALSE,4
"s15","p510",2071,639,65,19,FALSE,4
"s17","p510",632,436,11,33,FALSE,4
"s18","p510",495,685,12,20,FALSE,4
"s19","p510",389,819,10,29,FALSE,4
"s20","p510",383,871,13,30,FALSE,4
"s21","p510",502,753,8,29,FALSE,4
"s22","p510",487,759,15,32,FALSE,4
"s23","p510",485,910,12,32,FALSE,4
"s24","p510",366,790,7,23,FALSE,4
"s25","p510",524,1309,14,50,FALSE,4
"s27","p510",1515,997,60,13,FALSE,4
"s28","p510",1396,656,55,11,FALSE,4
"s29","p510",1054,735,47,16,FALSE,4
"s30","p510",1413,1242,57,23,FALSE,4
"s31","p510",739,660,34,17,FALSE,4
"s32","p510",1623,1099,65,19,FALSE,4
"s33","p510",1899,1227,68,20,FALSE,4
"s34","p510",1371,1009,42,14,FALSE,4
"s35","p510",1311,986,44,11,FALSE,4
"s37","p510",1003,1593,17,38,FALSE,4
"s38","p510",645,1033,11,34,FALSE,4
"s39","p510",489,1057,7,29,FALSE,4
"s40","p510",486,1245,11,35,FALSE,4
"s41","p510",604,1390,13,31,FALSE,4
"s42","p510",549,1133,7,50,FALSE,4
"s43","p510",440,1085,7,24,FALSE,4
"s44","p510",625,1201,15,39,FALSE,4
"s45","p510",751,1019,16,33,FALSE,4
"s46","p510",648,837,13,40,FALSE,4
"s47","p510",908,1228,10,37,FALSE,4
"s48","p510",1096,1252,18,42,FALSE,4
"s49","p510",1087,1322,23,42,FALSE,4
"s50","p510",1003,1272,13,40,FALSE,4
"s51","p510",907,1105,15,33,FALSE,4
"s52","p510",834,1127,15,43,FALSE,4
"s54","p510",893,822,27,15,FALSE,4
"s55","p510",1954,1158,55,22,FALSE,4
"s56","p510",1338,830,40,16,FALSE,4
"s57","p510",1654,1136,52,26,FALSE,4
