"player","avg_elo","n_wins_QGD","n_wins_QGA","n_losses_QGD","n_losses_QGA","n_ties_QGD","n_ties_QGA","n_QGD","n_QGA","elo_group","total_QG","experience_group"
"myirci",1823,15,1,14,0,2,0,31,1,4,32,4
"yalis",1445,4,10,9,9,0,0,13,19,2,32,4
"Elda64",2546,9,14,3,4,0,1,12,19,4,31,4
"FinkelFrand",1754,10,1,19,0,1,0,30,1,4,31,4
"Foundation1",1950,16,2,12,1,0,0,28,3,4,31,4
"harbour",1440,2,4,9,15,0,1,11,20,2,31,4
"Luisphotosmadrid",1514,8,2,17,3,0,1,25,6,2,31,4
"OCthethird",1283,8,1,20,1,1,0,29,2,1,31,4
"tonin1",1729,11,3,13,4,0,0,24,7,4,31,4
"Zahronsky",1302,4,12,3,11,0,1,7,24,1,31,4
"Aprilita",1606,5,3,9,13,0,0,14,16,3,30,4
"barabeusz",1722,14,1,13,1,1,0,28,2,4,30,4
"CheckMate666",1519,9,1,16,4,0,0,25,5,2,30,4
"drkhan",1292,4,2,19,5,0,0,23,7,1,30,4
"elizeums",1532,10,5,8,6,1,0,19,11,2,30,4
"elpixi",1733,2,6,6,16,0,0,8,22,4,30,4
"Evgen",1631,2,14,3,11,0,0,5,25,3,30,4
"Gearty",2232,15,1,10,2,2,0,27,3,4,30,4
"jc04",1892,11,4,10,3,1,1,22,8,4,30,4
"piramidus",1642,9,4,12,4,0,1,21,9,3,30,4
"shschessclubaaron",1526,5,10,9,6,0,0,14,16,2,30,4
"siboy",1441,2,11,2,14,0,1,4,26,2,30,4
"toar4",2283,14,3,12,1,0,0,26,4,4,30,4
"WitNik",1621,5,3,17,3,1,1,23,7,3,30,4
"xnavyx",1645,10,2,18,0,0,0,28,2,3,30,4
"BerserkMeIfYouCan",1502,9,1,18,1,0,0,27,2,2,29,4
"dedaljuba",1642,5,6,7,11,0,0,12,17,3,29,4
"donat019",1424,1,7,1,19,1,0,3,26,1,29,4
"dusan345",1342,8,3,12,6,0,0,20,9,1,29,4
"faustgen",1722,6,1,22,0,0,0,28,1,4,29,4
"FlexibleTree",1590,16,2,7,4,0,0,23,6,3,29,4
"gurli",1575,5,3,8,11,0,2,13,16,2,29,4
"JocaDisa",1389,3,5,15,5,1,0,19,10,1,29,4
"jsnx",1258,9,1,19,0,0,0,28,1,1,29,4
"MANDRILL215",1443,8,1,17,3,0,0,25,4,2,29,4
"olfuchs",1569,10,1,17,1,0,0,27,2,2,29,4
"pepeg",1745,9,2,13,4,1,0,23,6,4,29,4
"polof_2",1202,12,1,15,0,1,0,28,1,1,29,4
"sashaplast",1643,8,6,6,7,1,1,15,14,3,29,4
"VUnitis",1717,11,1,14,1,2,0,27,2,3,29,4
"zobi",1470,17,1,7,0,4,0,28,1,2,29,4
"BOCKOSRB555",1555,1,12,3,11,0,1,4,24,2,28,4
"d31081972",1802,19,1,8,0,0,0,27,1,4,28,4
"kaycak21",1697,7,2,12,5,1,1,20,8,3,28,4
"mkgyber",1809,8,1,18,0,1,0,27,1,4,28,4
"msa61",1622,2,3,8,14,1,0,11,17,3,28,4
"Rentcas",1615,2,2,13,10,0,1,15,13,3,28,4
"Stonebanks",1608,6,5,10,6,1,0,17,11,3,28,4
"tax2478",1687,7,2,17,2,0,0,24,4,3,28,4
"tukan",1618,3,17,1,6,1,0,5,23,3,28,4
"XoceanX",1653,13,1,14,0,0,0,27,1,3,28,4
"Chino195",1505,1,8,1,17,0,0,2,25,2,27,4
"Cornedauroch",1586,10,4,11,1,1,0,22,5,3,27,4
"mestrerusso",1712,9,2,13,1,1,1,23,4,3,27,4
"migarbi",1772,11,1,11,3,1,0,23,4,4,27,4
"MISAINASON",1445,5,2,20,0,0,0,25,2,2,27,4
"ritz22",1287,2,8,2,15,0,0,4,23,1,27,4
"rolodf",1506,7,7,8,4,1,0,16,11,2,27,4
"svn1962",1389,6,4,11,3,2,1,19,8,1,27,4
"violet_2045",1526,10,1,13,2,0,1,23,4,2,27,4
"almostunique",1695,11,4,6,3,2,0,19,7,3,26,4
"CM34",1632,20,1,5,0,0,0,25,1,3,26,4
"DUMORRO",1707,5,5,3,11,0,2,8,18,3,26,4
"gustukas1",1853,11,4,7,4,0,0,18,8,4,26,4
"kbsanswer",1527,11,1,12,2,0,0,23,3,2,26,4
"Krieg",1550,3,9,3,9,1,1,7,19,2,26,4
"miki16",1418,4,3,13,6,0,0,17,9,1,26,4
"osamson",1299,1,10,1,14,0,0,2,24,1,26,4
"sbarbier",1603,9,1,15,0,1,0,25,1,3,26,4
"seva1922",1541,1,8,3,9,3,2,7,19,2,26,4
"TheDragon21",1477,10,1,12,3,0,0,22,4,2,26,4
"alj",1374,1,8,0,15,0,1,1,24,1,25,4
"ArKen",1791,12,3,9,0,1,0,22,3,4,25,4
"ayahari",1505,1,5,4,15,0,0,5,20,2,25,4
"cortou44",1433,4,8,4,9,0,0,8,17,1,25,4
"cptmajormajor",1893,10,4,9,1,1,0,20,5,4,25,4
"Desperado55",1579,3,4,6,11,1,0,10,15,2,25,4
"Fioravanti",1534,5,9,4,6,1,0,10,15,2,25,4
"Hildegunst",1349,1,8,4,12,0,0,5,20,1,25,4
