"player","avg_elo","n_wins_QGD","n_wins_QGA","n_losses_QGD","n_losses_QGA","n_ties_QGD","n_ties_QGA","n_QGD","n_QGA","elo_group","total_QG","experience_group"
"soul_man",1738,2,1,3,1,1,0,6,2,4,8,2
"starcevac",1608,1,1,3,2,0,1,4,4,3,8,2
"thealchemist913",1563,1,2,0,5,0,0,1,7,2,8,2
"theNb4",1359,2,1,0,4,0,1,2,6,1,8,2
"Toni_Kosova",1775,2,2,1,3,0,0,3,5,4,8,2
"vicente_gar_bra",1760,1,3,1,2,0,1,2,6,4,8,2
"vladimir777",1683,1,2,3,2,0,0,4,4,3,8,2
"Volnodum",1351,1,2,2,3,0,0,3,5,1,8,2
"Willnavy",1682,3,3,1,0,1,0,5,3,3,8,2
"wolverine19",1424,1,2,2,3,0,0,3,5,1,8,2
"yaminga1",1157,1,5,0,2,0,0,1,7,1,8,2
"Young-again",2050,1,5,0,2,0,0,1,7,4,8,2
"69696969",1597,2,1,0,4,0,0,2,5,3,7,2
"alfalu",1278,1,1,0,5,0,0,1,6,1,7,2
"anilku07",1507,1,2,0,4,0,0,1,6,2,7,2
"B21",1591,1,1,3,2,0,0,4,3,3,7,2
"bigticket91",1959,1,3,0,3,0,0,1,6,4,7,2
"bolandhemat",1718,1,1,5,0,0,0,6,1,3,7,2
"bondarevsergey",1618,1,2,3,1,0,0,4,3,3,7,2
"Bongkaras",1730,1,2,2,2,0,0,3,4,4,7,2
"boris_riga",1525,2,1,3,1,0,0,5,2,2,7,2
"CaptainSean",1429,1,3,1,2,0,0,2,5,1,7,2
"centralito78",1334,1,1,2,3,0,0,3,4,1,7,2
"Chalitoo",1338,1,1,5,0,0,0,6,1,1,7,2
"chess-power",1908,3,1,2,0,1,0,6,1,4,7,2
"chessultra",1407,2,1,4,0,0,0,6,1,1,7,2
"dejanpajtic",1493,1,6,0,0,0,0,1,6,2,7,2
"DemoCid",1861,1,1,4,1,0,0,5,2,4,7,2
"dog11",1588,1,1,5,0,0,0,6,1,3,7,2
"elaude",1795,4,1,2,0,0,0,6,1,4,7,2
"Ellion",1543,2,4,1,0,0,0,3,4,2,7,2
"Emm",1452,1,2,3,1,0,0,4,3,2,7,2
"emre1234",1426,2,1,3,1,0,0,5,2,1,7,2
"estay",1603,1,1,5,0,0,0,6,1,3,7,2
"fiestaslopez2013",1523,2,3,1,1,0,0,3,4,2,7,2
"Foncier",1482,1,1,2,2,1,0,4,3,2,7,2
"Fueweqw",1671,1,1,5,0,0,0,6,1,3,7,2
"Gioia",1253,2,1,4,0,0,0,6,1,1,7,2
"gjy",1208,1,2,0,4,0,0,1,6,1,7,2
"gusmanotocic",1485,1,1,0,5,0,0,1,6,2,7,2
"hadrian",1926,2,3,1,1,0,0,3,4,4,7,2
"Herizo",1511,1,3,0,3,0,0,1,6,2,7,2
"JaqenHghar22",1297,1,1,3,0,2,0,6,1,1,7,2
"Jaume19",1721,5,1,1,0,0,0,6,1,3,7,2
"jctello2000",1386,3,1,3,0,0,0,6,1,1,7,2
"jegjc",1491,4,2,1,0,0,0,5,2,2,7,2
"Jim1",1859,3,1,1,0,2,0,6,1,4,7,2
"juanmanova",1468,1,1,0,4,1,0,2,5,2,7,2
"juranune",1656,2,1,2,2,0,0,4,3,3,7,2
"jusch",1807,3,1,3,0,0,0,6,1,4,7,2
"justinplaton8531",1429,4,2,1,0,0,0,5,2,1,7,2
"Kaiowa",1630,2,1,4,0,0,0,6,1,3,7,2
"kevin-2",1735,2,1,3,1,0,0,5,2,4,7,2
"khanhosseini_ali",1655,1,2,0,2,0,2,1,6,3,7,2
"kindruk",1710,2,1,3,0,1,0,6,1,3,7,2
"Konstantin1981",1549,3,1,3,0,0,0,6,1,2,7,2
"Ksv2012",1517,2,1,3,0,1,0,6,1,2,7,2
"kulje",2014,3,1,3,0,0,0,6,1,4,7,2
"LeonR",1248,1,3,3,0,0,0,4,3,1,7,2
"LevStolpner",1814,2,1,4,0,0,0,6,1,4,7,2
"ljubivoje",1642,4,1,0,2,0,0,4,3,3,7,2
"LoayMandalawi",1704,3,2,1,1,0,0,4,3,3,7,2
"lorlores",1309,1,2,1,3,0,0,2,5,1,7,2
"majidsuzuki",1467,1,1,3,2,0,0,4,3,2,7,2
"Martin2020",1254,2,1,3,1,0,0,5,2,1,7,2
"mastershahab",1280,1,2,0,3,0,1,1,6,1,7,2
"MatthieuR",1414,2,2,2,0,0,1,4,3,1,7,2
"mehdi1338",1447,3,1,2,1,0,0,5,2,2,7,2
"mih-ur",1636,4,1,2,0,0,0,6,1,3,7,2
"MihaSLOVE",1891,1,3,1,2,0,0,2,5,4,7,2
"mocovi",1287,2,1,2,2,0,0,4,3,1,7,2
"mosaferz",1384,1,3,1,2,0,0,2,5,1,7,2
"n1c0",1730,1,1,5,0,0,0,6,1,4,7,2
"NIGHTGUEST",2379,1,2,0,4,0,0,1,6,4,7,2
"pampaking",1378,1,1,5,0,0,0,6,1,1,7,2
"patrick03",1528,1,1,3,2,0,0,4,3,2,7,2
"PhD-Chess",1700,1,1,2,3,0,0,3,4,3,7,2
"Rikgasum1",1622,2,2,0,3,0,0,2,5,3,7,2
"rodrigoporto",1786,2,1,4,0,0,0,6,1,4,7,2
"Rodvet",1587,2,1,4,0,0,0,6,1,3,7,2
"Sasha_M",1453,1,2,1,3,0,0,2,5,2,7,2
"Scurvodsky",1633,3,2,2,0,0,0,5,2,3,7,2
"sergei629",1599,1,1,2,3,0,0,3,4,3,7,2
"sergei95k",1627,3,1,2,1,0,0,5,2,3,7,2
"Shamorin-woof",1701,1,1,3,2,0,0,4,3,3,7,2
"skchess",1708,2,2,1,2,0,0,3,4,3,7,2
"skripos",1484,1,2,3,1,0,0,4,3,2,7,2
"SomeSelfie",1379,1,2,1,3,0,0,2,5,1,7,2
"sps53",1423,1,1,3,2,0,0,4,3,1,7,2
"Thero",1708,3,1,2,1,0,0,5,2,3,7,2
"timschnittke",1412,2,3,0,0,1,1,3,4,1,7,2
"valerych",1610,2,2,1,2,0,0,3,4,3,7,2
"Vankomate",1472,5,1,0,1,0,0,5,2,2,7,2
"Viktor2015",1545,3,1,3,0,0,0,6,1,2,7,2
"Voyager2",1474,4,1,1,1,0,0,5,2,2,7,2
"watusi",2156,2,1,1,3,0,0,3,4,4,7,2
"Xoal",1198,1,4,0,2,0,0,1,6,1,7,2
"yenduri",1396,1,1,1,4,0,0,2,5,1,7,2
"YUrikrims",1569,2,3,2,0,0,0,4,3,2,7,2
"ZGT_3",1502,1,1,3,2,0,0,4,3,2,7,2
"2ndThought",1637,1,2,1,0,1,1,3,3,3,6,1
"7sleeper",1430,2,1,2,1,0,0,4,2,1,6,1
"Akbar3f",1607,1,2,0,3,0,0,1,5,3,6,1
"alonshocron",1369,1,2,1,2,0,0,2,4,1,6,1
"AndRay",1660,3,1,2,0,0,0,5,1,3,6,1
"andredomeier",1383,1,1,4,0,0,0,5,1,1,6,1
"arbitrarylogic",1421,3,1,1,1,0,0,4,2,1,6,1
"arturking8",1306,1,2,1,2,0,0,2,4,1,6,1
"babasinan",1216,3,1,2,0,0,0,5,1,1,6,1
"Barnacle_Boyz",1720,1,1,1,3,0,0,2,4,3,6,1
"bathar",1442,1,2,1,1,1,0,3,3,2,6,1
"bellmar",1402,2,1,3,0,0,0,5,1,1,6,1
"bodens_mate",1566,1,1,4,0,0,0,5,1,2,6,1
"branko",1740,2,2,1,1,0,0,3,3,4,6,1
"Casagregs",1375,1,1,4,0,0,0,5,1,1,6,1
"chessergio",1389,1,1,3,1,0,0,4,2,1,6,1
"Chessline",1670,2,2,1,1,0,0,3,3,3,6,1
"costelush",1573,2,1,3,0,0,0,5,1,2,6,1
"crippleking",1568,1,1,0,4,0,0,1,5,2,6,1
"crist15",1392,1,2,3,0,0,0,4,2,1,6,1
"CRNIBARON",1482,1,1,1,2,1,0,3,3,2,6,1
"DaanNoordenbos",1697,4,1,0,1,0,0,4,2,3,6,1
"danmalis",1654,3,1,0,1,1,0,4,2,3,6,1
"Ded1948en",1703,3,2,0,0,1,0,4,2,3,6,1
"diego1234512345-",1674,1,1,3,0,1,0,5,1,3,6,1
"dmitryst",1441,2,1,3,0,0,0,5,1,2,6,1
"ENROQUECHILE",1607,4,1,1,0,0,0,5,1,3,6,1
"Essi1today",1539,1,1,2,2,0,0,3,3,2,6,1
"firefighter11",1459,1,2,2,0,1,0,4,2,2,6,1
"Gallop",1193,1,1,2,2,0,0,3,3,1,6,1
"GonzaJaimez",1643,1,1,1,2,0,1,2,4,3,6,1
"HaHN",1660,4,1,0,1,0,0,4,2,3,6,1
"hamed14",1576,2,1,3,0,0,0,5,1,2,6,1
"hernype",1385,1,2,1,2,0,0,2,4,1,6,1
"honorarycitizen",1808,4,1,0,0,1,0,5,1,4,6,1
"hoseinsharifloo",1407,2,1,1,2,0,0,3,3,1,6,1
"hra",1564,1,1,4,0,0,0,5,1,2,6,1
"hungaria",1645,1,3,0,2,0,0,1,5,3,6,1
"ignacy_m",2190,2,1,2,0,0,1,4,2,4,6,1
"IL10000",1808,3,1,2,0,0,0,5,1,4,6,1
"Iosfa",1445,1,2,0,3,0,0,1,5,2,6,1
"IRAN1393",1473,1,1,3,1,0,0,4,2,2,6,1
"iri34",1687,3,1,1,0,1,0,5,1,3,6,1
"kas55",1614,1,1,3,1,0,0,4,2,3,6,1
"kinqueen",1720,1,1,4,0,0,0,5,1,3,6,1
"klounTT",1533,1,2,2,1,0,0,3,3,2,6,1
"Krawec",1650,1,3,0,2,0,0,1,5,3,6,1
"Lightsss",2148,4,1,1,0,0,0,5,1,4,6,1
"M740",1453,1,1,0,4,0,0,1,5,2,6,1
"mahsa75",1732,1,1,3,1,0,0,4,2,4,6,1
"MaxV",1466,1,4,1,0,0,0,2,4,2,6,1
"mikull",1440,1,2,1,2,0,0,2,4,2,6,1
"mina28",1286,1,1,4,0,0,0,5,1,1,6,1
"mirzali",1318,1,2,1,2,0,0,2,4,1,6,1
"misha20101958",1839,2,3,0,0,0,1,2,4,4,6,1
"mthvdl",1656,2,1,1,2,0,0,3,3,3,6,1
"Musclebrain",2261,1,1,3,1,0,0,4,2,4,6,1
"mvdmolen",1452,4,1,0,1,0,0,4,2,2,6,1
"n5jfergus",961,1,1,3,0,0,1,4,2,1,6,1
"neverlose0123",1704,3,1,2,0,0,0,5,1,3,6,1
"Norlov",1299,1,2,1,1,0,1,2,4,1,6,1
"Ntune",1515,2,2,2,0,0,0,4,2,2,6,1
"Otto_Weininger",1895,1,2,2,0,1,0,4,2,4,6,1
"PAPAZOL",1416,3,1,1,1,0,0,4,2,1,6,1
"pitter",1362,1,1,3,1,0,0,4,2,1,6,1
"qbone",1944,1,1,2,1,1,0,4,2,4,6,1
"radivojegacevic",1656,2,3,1,0,0,0,3,3,3,6,1
"Ratno",1714,1,1,2,2,0,0,3,3,3,6,1
"re_elvan",1663,4,1,0,1,0,0,4,2,3,6,1
"RyanTaylor",1471,2,1,2,1,0,0,4,2,2,6,1
"sajadianpor",1997,4,1,1,0,0,0,5,1,4,6,1
"samyco",1512,1,1,3,1,0,0,4,2,2,6,1
"sirohach",1750,1,1,3,1,0,0,4,2,4,6,1
"spiderman2012",1576,1,3,1,1,0,0,2,4,2,6,1
"Sr-org",1514,2,3,0,1,0,0,2,4,2,6,1
"Stranger1",1536,2,1,2,0,1,0,5,1,2,6,1
"ted500",1593,1,2,1,2,0,0,2,4,3,6,1
"Ururi",1467,1,2,2,1,0,0,3,3,2,6,1
"Viktor777",1688,2,2,0,2,0,0,2,4,3,6,1
"Volodka76",1415,2,1,2,0,1,0,5,1,1,6,1
"xxFUDOxx",1205,1,1,4,0,0,0,5,1,1,6,1
"YeraldWC2",1305,2,1,1,2,0,0,3,3,1,6,1
"adamrgisom",1832,2,1,2,0,0,0,4,1,4,5,1
"alexjac",1875,3,2,0,0,0,0,3,2,4,5,1
"alx_tfg",1302,1,1,1,2,0,0,2,3,1,5,1
"ambulanssi",1410,1,1,2,1,0,0,3,2,1,5,1
"ARTURO78",1523,2,1,0,2,0,0,2,3,2,5,1
"ashoka",1488,2,1,1,1,0,0,3,2,2,5,1
"AxiomsAndProof",1721,4,1,0,0,0,0,4,1,3,5,1
"BARBATUS",1918,1,1,3,0,0,0,4,1,4,5,1
"blubaker",1410,2,1,0,2,0,0,2,3,1,5,1
"Brady",1301,2,2,1,0,0,0,3,2,1,5,1
"cardog",1440,2,1,1,1,0,0,3,2,2,5,1
"cerroramon",1523,1,3,0,1,0,0,1,4,2,5,1
"clawhammer",1189,1,1,2,1,0,0,3,2,1,5,1
"ClearIcicle",1331,2,1,2,0,0,0,4,1,1,5,1
"contrebasse",1552,2,1,0,1,0,1,2,3,2,5,1
"Coolstory",1718,1,3,1,0,0,0,2,3,3,5,1
"cristizg",1653,1,1,1,2,0,0,2,3,3,5,1
"dado-1",1337,1,1,3,0,0,0,4,1,1,5,1
"dasdfqwerty",1676,2,1,2,0,0,0,4,1,3,5,1
"diegoalatriste",1666,3,1,1,0,0,0,4,1,3,5,1
"dmitry-660527",1619,1,2,1,1,0,0,2,3,3,5,1
"dnc",1752,4,1,0,0,0,0,4,1,4,5,1
"dubol",1640,1,1,1,1,0,1,2,3,3,5,1
"ekekmo",1482,1,1,3,0,0,0,4,1,2,5,1
"FEDF",1497,1,1,0,3,0,0,1,4,2,5,1
"fernandobmthcof",1397,1,1,3,0,0,0,4,1,1,5,1
"fernitao",1489,1,1,2,1,0,0,3,2,2,5,1
"finalPlayer",1273,1,1,1,2,0,0,2,3,1,5,1
"Gezal",2378,2,1,1,0,1,0,4,1,4,5,1
"ghool5",1631,2,2,0,1,0,0,2,3,3,5,1
"GRIGORI_290153",1718,3,1,0,1,0,0,3,2,3,5,1
"GuilhermePedro",1386,1,1,1,2,0,0,2,3,1,5,1
"guldi",1279,2,1,1,1,0,0,3,2,1,5,1
"hima_saber80",2232,1,1,3,0,0,0,4,1,4,5,1
"hugo50000",1633,1,1,3,0,0,0,4,1,3,5,1
"irakli007",2029,1,1,2,1,0,0,3,2,4,5,1
"joal",1904,4,1,0,0,0,0,4,1,4,5,1
"jollyjoker1",1620,1,1,1,1,1,0,3,2,3,5,1
"juantaka",1534,1,2,0,2,0,0,1,4,2,5,1
"kaji",1470,1,2,1,1,0,0,2,3,2,5,1
"kiz16",1730,1,1,0,3,0,0,1,4,4,5,1
"Konstanta",1640,2,1,0,2,0,0,2,3,3,5,1
"lau3",1669,1,1,3,0,0,0,4,1,3,5,1
"LePadre",1081,1,1,1,2,0,0,2,3,1,5,1
"leveretthouse",1959,1,3,0,1,0,0,1,4,4,5,1
"lisand",1547,2,2,0,1,0,0,2,3,2,5,1
"LogicalKip",1339,2,2,0,1,0,0,2,3,1,5,1
"loserdrew",1603,1,1,0,3,0,0,1,4,3,5,1
"makover",1354,1,2,0,1,0,1,1,4,1,5,1
"MareGrc",1017,2,1,2,0,0,0,4,1,1,5,1
"matti",1537,4,1,0,0,0,0,4,1,2,5,1
"metsi",1951,2,1,1,0,1,0,4,1,4,5,1
"MILI06",1605,1,2,0,2,0,0,1,4,3,5,1
"MRAPY",1704,1,2,0,2,0,0,1,4,3,5,1
"ostade",1490,1,2,0,2,0,0,1,4,2,5,1
"ostraruda",1550,1,1,0,3,0,0,1,4,2,5,1
"oursisthefury",1451,1,1,1,2,0,0,2,3,2,5,1
"peonddama",1414,1,2,0,2,0,0,1,4,1,5,1
"Pirlo65",1567,1,2,1,1,0,0,2,3,2,5,1
"quetzalcoatlMx",1414,1,1,2,1,0,0,3,2,1,5,1
"R1P1K",1311,1,3,1,0,0,0,2,3,1,5,1
"Ramarna",1442,1,1,1,2,0,0,2,3,2,5,1
"ruslan2351",1400,1,1,2,1,0,0,3,2,1,5,1
"sarbaz1980",1541,1,1,0,3,0,0,1,4,2,5,1
"SarSamMel",1614,1,1,3,0,0,0,4,1,3,5,1
"sfwc",1775,2,1,2,0,0,0,4,1,4,5,1
"sheriar",1671,3,1,1,0,0,0,4,1,3,5,1
"Siladin",1372,1,1,1,2,0,0,2,3,1,5,1
"sorcererji",1419,1,1,1,2,0,0,2,3,1,5,1
"spazza",1496,2,2,1,0,0,0,3,2,2,5,1
"srini",1704,1,2,2,0,0,0,3,2,3,5,1
"suryavan",1529,2,1,1,1,0,0,3,2,2,5,1
"Tbaby",1309,1,1,3,0,0,0,4,1,1,5,1
"TheCombinator",1847,3,1,1,0,0,0,4,1,4,5,1
"theWinnerIsMammt",1512,1,1,1,2,0,0,2,3,2,5,1
"topolcany",1531,2,1,2,0,0,0,4,1,2,5,1
"tropik",1915,2,1,2,0,0,0,4,1,4,5,1
"tx32",1418,1,2,0,2,0,0,1,4,1,5,1
"unlander33",1711,1,1,2,1,0,0,3,2,3,5,1
"vilassarxavi",1471,2,1,2,0,0,0,4,1,2,5,1
"Vukovi1945",1632,2,1,2,0,0,0,4,1,3,5,1
"w64",1626,1,1,0,3,0,0,1,4,3,5,1
"WalonVau",1746,2,1,2,0,0,0,4,1,4,5,1
"xydojnik1",1572,1,1,0,3,0,0,1,4,2,5,1
"Yohan44",1697,1,2,1,1,0,0,2,3,3,5,1
"zezima",1234,3,1,1,0,0,0,4,1,1,5,1
"Alexandrv",1597,2,1,1,0,0,0,3,1,3,4,1
"alpseyf",1324,1,1,0,2,0,0,1,3,1,4,1
"alt2",1772,1,1,1,0,1,0,3,1,4,4,1
"anujku",1489,1,1,2,0,0,0,3,1,2,4,1
"apcufej",1488,1,1,1,1,0,0,2,2,2,4,1
"arabian1knight",1506,1,1,2,0,0,0,3,1,2,4,1
"asunder",1210,1,1,0,2,0,0,1,3,1,4,1
"Bagirow",1984,3,1,0,0,0,0,3,1,4,4,1
"bbc33",1542,2,1,1,0,0,0,3,1,2,4,1
"boniclay",1672,1,1,1,0,1,0,3,1,3,4,1
"brendig",1590,2,2,0,0,0,0,2,2,3,4,1
"Cemetery",1425,2,2,0,0,0,0,2,2,1,4,1
"Chicarelli",1606,2,1,1,0,0,0,3,1,3,4,1
"cortland",1672,1,1,2,0,0,0,3,1,3,4,1
"edededed",1593,1,1,2,0,0,0,3,1,3,4,1
"edwarrdj99",1508,1,1,0,2,0,0,1,3,2,4,1
"elpeor",1598,2,1,1,0,0,0,3,1,3,4,1
"Fauna12",1140,1,1,1,0,1,0,3,1,1,4,1
"fernandomcfly",1726,1,2,1,0,0,0,2,2,4,4,1
"fiico",1242,2,1,1,0,0,0,3,1,1,4,1
"Flashcards",2036,1,1,2,0,0,0,3,1,4,4,1
"FlavioWin",1273,1,1,1,1,0,0,2,2,1,4,1
"furiacalchaqui",1778,1,1,2,0,0,0,3,1,4,4,1
"Gerchu",1398,1,2,0,1,0,0,1,3,1,4,1
"giammi72",1323,1,1,1,1,0,0,2,2,1,4,1
"glauco12",1431,1,2,0,1,0,0,1,3,1,4,1
"GretaC",1208,1,2,0,1,0,0,1,3,1,4,1
"Hanni-Baal",2133,2,1,1,0,0,0,3,1,4,4,1
"Henry513",1277,1,1,0,2,0,0,1,3,1,4,1
"ITKEEPSHAPPENING",1861,1,3,0,0,0,0,1,3,4,4,1
"itsatrap97",1631,2,1,1,0,0,0,3,1,3,4,1
"Ivan96",1389,1,2,0,1,0,0,1,3,1,4,1
"J_R_S",1560,2,1,1,0,0,0,3,1,2,4,1
"jbustos",1575,2,1,0,1,0,0,2,2,2,4,1
"jhdf",1299,1,1,2,0,0,0,3,1,1,4,1
"Jolebelge",1439,1,1,0,1,0,1,1,3,1,4,1
"jorge1alderbury",1550,1,2,1,0,0,0,2,2,2,4,1
"josevitor91",1404,1,1,0,2,0,0,1,3,1,4,1
"kairali183",1558,1,2,0,1,0,0,1,3,2,4,1
"kastela3",1514,2,1,0,1,0,0,2,2,2,4,1
"kekss5",2211,2,2,0,0,0,0,2,2,4,4,1
"Kinimod",1571,1,1,1,0,0,1,2,2,2,4,1
"kreedz",1668,1,2,1,0,0,0,2,2,3,4,1
"KUTAISI",1618,1,1,0,2,0,0,1,3,3,4,1
"LakeJacey",1241,1,1,2,0,0,0,3,1,1,4,1
"latarce13",1648,2,1,1,0,0,0,3,1,3,4,1
"lexxx-msk",1458,1,1,1,0,1,0,3,1,2,4,1
"Licht",1371,2,1,0,1,0,0,2,2,1,4,1
"littlewing237",1472,1,1,1,1,0,0,2,2,2,4,1
"m-f1344",1928,3,1,0,0,0,0,3,1,4,4,1
"maslick",1659,1,1,2,0,0,0,3,1,3,4,1
"mehdi58",1998,3,1,0,0,0,0,3,1,4,4,1
"mhavgar",1644,1,2,1,0,0,0,2,2,3,4,1
"montazerin",1840,3,1,0,0,0,0,3,1,4,4,1
"mtratnik",1182,1,2,0,1,0,0,1,3,1,4,1
"mujin",1697,2,2,0,0,0,0,2,2,3,4,1
"OskrG",1779,1,1,0,2,0,0,1,3,4,4,1
"Pan_Turecki",1342,2,1,0,1,0,0,2,2,1,4,1
"paolo70",1364,1,1,0,2,0,0,1,3,1,4,1
"parsamosawe",1673,1,3,0,0,0,0,1,3,3,4,1
"Peterburg",1681,3,1,0,0,0,0,3,1,3,4,1
"pors",1331,1,1,1,1,0,0,2,2,1,4,1
"purgin",1800,1,1,0,2,0,0,1,3,4,4,1
"queenloveschess",1546,1,2,0,1,0,0,1,3,2,4,1
"rachelsausan",1316,1,1,1,1,0,0,2,2,1,4,1
"randommoron",1692,3,1,0,0,0,0,3,1,3,4,1
"riiton",1257,1,1,0,2,0,0,1,3,1,4,1
"ripi22",1625,1,1,1,1,0,0,2,2,3,4,1
"rrrnov",1493,1,3,0,0,0,0,1,3,2,4,1
"sabs111",1501,1,1,2,0,0,0,3,1,2,4,1
"Schein",1470,1,1,0,2,0,0,1,3,2,4,1
"sedr",1449,1,1,0,2,0,0,1,3,2,4,1
"Septiawan",1593,1,1,2,0,0,0,3,1,3,4,1
"Seven00",1416,1,1,2,0,0,0,3,1,1,4,1
"sirbiss",1766,3,1,0,0,0,0,3,1,4,4,1
"stupidFlanders",1742,1,1,0,2,0,0,1,3,4,4,1
"suevilin",1187,1,1,2,0,0,0,3,1,1,4,1
"takapiro",1630,2,1,1,0,0,0,3,1,3,4,1
"tiehunter",1264,1,2,1,0,0,0,2,2,1,4,1
"tirurit2002",1585,1,1,0,2,0,0,1,3,3,4,1
"torres84",1436,1,1,2,0,0,0,3,1,1,4,1
"urii24",1440,1,1,1,1,0,0,2,2,2,4,1
"vhutter",1405,2,1,1,0,0,0,3,1,1,4,1
"VitalyChess",1762,1,1,1,0,1,0,3,1,4,4,1
"Vito_Andolini",1645,1,1,1,1,0,0,2,2,3,4,1
"Voidness",1607,1,1,0,1,1,0,2,2,3,4,1
"Voskod2",1445,1,1,1,1,0,0,2,2,2,4,1
"wcasani",1359,2,1,0,1,0,0,2,2,1,4,1
"wibe",1610,1,1,2,0,0,0,3,1,3,4,1
"YairPG",1204,1,1,0,1,0,1,1,3,1,4,1
"yaserdarabi2000",1704,2,2,0,0,0,0,2,2,3,4,1
"ZenCu",1421,1,1,1,1,0,0,2,2,1,4,1
"Adriel",1652,1,1,1,0,0,0,2,1,3,3,1
"AlexGKA",1727,1,1,0,0,1,0,2,1,4,3,1
"allansoar",1474,1,1,1,0,0,0,2,1,2,3,1
"andrei07",1579,1,1,0,1,0,0,1,2,2,3,1
"arsamakov1993",1832,1,1,1,0,0,0,2,1,4,3,1
"AsgardGarantov",1238,1,1,0,1,0,0,1,2,1,3,1
"Balthazar500",1603,1,1,1,0,0,0,2,1,3,3,1
"BenNCooper",1814,1,1,1,0,0,0,2,1,4,3,1
"biethanistic",1669,1,2,0,0,0,0,1,2,3,3,1
"boscaler",1610,1,1,1,0,0,0,2,1,3,3,1
"brenomax1",1449,1,1,0,1,0,0,1,2,2,3,1
"Bucephal",1417,1,1,0,1,0,0,1,2,1,3,1
"byvol",1428,1,1,1,0,0,0,2,1,1,3,1
"cabeza56",1483,1,1,0,1,0,0,1,2,2,3,1
"carslen25eren",1367,2,1,0,0,0,0,2,1,1,3,1
"Cascarov",1250,1,1,1,0,0,0,2,1,1,3,1
"chessbrahs",2296,2,1,0,0,0,0,2,1,4,3,1
"chron",1295,1,1,0,0,0,1,1,2,1,3,1
"cleberjogaxadrez",1712,1,1,1,0,0,0,2,1,3,3,1
"creng",1594,1,1,1,0,0,0,2,1,3,3,1
"crnobelo",1607,1,1,1,0,0,0,2,1,3,3,1
"Divine_Matrix",1995,1,2,0,0,0,0,1,2,4,3,1
"DrVaran",1877,1,1,1,0,0,0,2,1,4,3,1
"E4d4",1890,1,1,0,1,0,0,1,2,4,3,1
"ECUREUIL57",1368,1,1,0,1,0,0,1,2,1,3,1
"EnjoyThePie",1144,1,1,0,1,0,0,1,2,1,3,1
"entrenandoando",1724,1,1,0,0,1,0,2,1,4,3,1
"enzopaolo89",1701,1,1,1,0,0,0,2,1,3,3,1
"Epson",1315,1,1,0,0,1,0,2,1,1,3,1
"eqsx",1287,2,1,0,0,0,0,2,1,1,3,1
"faizaaya",1327,1,1,1,0,0,0,2,1,1,3,1
"gamal13172",1696,1,1,1,0,0,0,2,1,3,3,1
"gmcolonia",1899,1,1,1,0,0,0,2,1,4,3,1
"horseelephant",1556,1,1,0,1,0,0,1,2,2,3,1
"isvok",1785,1,1,1,0,0,0,2,1,4,3,1
"izner",1510,1,1,1,0,0,0,2,1,2,3,1
"jeanleprof",1455,1,1,0,1,0,0,1,2,2,3,1
"Jirayu",1952,1,1,1,0,0,0,2,1,4,3,1
"Karnauhov_Dania",1173,1,1,0,1,0,0,1,2,1,3,1
"KeyKurono",1601,1,1,1,0,0,0,2,1,3,3,1
"Kofein4ek",1082,1,1,1,0,0,0,2,1,1,3,1
"korenevo",1405,1,1,0,1,0,0,1,2,1,3,1
"laslolosla",1305,1,1,1,0,0,0,2,1,1,3,1
"learntoplay",1955,2,1,0,0,0,0,2,1,4,3,1
"lennske",1474,1,1,0,1,0,0,1,2,2,3,1
"LetsBullet8",1881,1,1,0,1,0,0,1,2,4,3,1
"mammaletto",1511,1,2,0,0,0,0,1,2,2,3,1
"marko_mostar",1686,1,1,0,1,0,0,1,2,3,3,1
"MasterCassim",1356,1,2,0,0,0,0,1,2,1,3,1
"Matajaca",1612,1,1,1,0,0,0,2,1,3,3,1
"Maxijoon",1688,1,1,0,1,0,0,1,2,3,3,1
"MechanicalEngineer",1642,2,1,0,0,0,0,2,1,3,3,1
"mehdidadashi",1337,1,2,0,0,0,0,1,2,1,3,1
"Mihailll",1522,1,1,1,0,0,0,2,1,2,3,1
"mikbalidr",1675,1,1,1,0,0,0,2,1,3,3,1
"moishaleh",1690,1,1,1,0,0,0,2,1,3,3,1
"motion",1392,1,1,0,1,0,0,1,2,1,3,1
"mvIran",1456,1,1,1,0,0,0,2,1,2,3,1
"mx2nor",1573,1,1,0,1,0,0,1,2,2,3,1
"naturalman",1365,1,1,1,0,0,0,2,1,1,3,1
"ncistony13",1658,1,1,1,0,0,0,2,1,3,3,1
"Nero1",1351,1,1,0,0,1,0,2,1,1,3,1
"ojot",1622,1,1,1,0,0,0,2,1,3,3,1
"Orel05",1763,1,1,1,0,0,0,2,1,4,3,1
"Over_Verick",1953,1,1,1,0,0,0,2,1,4,3,1
"Paresseux",1359,1,1,0,1,0,0,1,2,1,3,1
"Pascha43",1681,2,1,0,0,0,0,2,1,3,3,1
"pawnsareop",1717,2,1,0,0,0,0,2,1,3,3,1
"pawnshopper",1575,1,2,0,0,0,0,1,2,2,3,1
"pirayu",1393,1,1,0,0,0,1,1,2,1,3,1
"prologic",1519,1,1,1,0,0,0,2,1,2,3,1
"rasmussenesq",1580,2,1,0,0,0,0,2,1,2,3,1
"reydiagonal",1738,2,1,0,0,0,0,2,1,4,3,1
"Rustam777",1347,1,1,1,0,0,0,2,1,1,3,1
